Email,Produto,Preço Unitário,Quantidade,Valor Total,Cidade,Estado,Método de Pagamento,Data
oaraujo@novaes.net,Barra de Proteína,12.5,1,12.5,Melo do Sul,SE,Boleto,2023-03-27
yagogoncalves@castro.org,Whey Protein,149.9,5,749.5,das Neves,MG,Boleto,2023-01-27
araujojoao-guilherme@rodrigues.com,Barra de Proteína,12.5,2,25.0,Moreira Grande,DF,Cartão,2025-04-04
lais29@yahoo.com.br,Creatina,99.9,3,299.7,Nunes,RS,Boleto,2024-03-20
theodas-neves@peixoto.com,GCoffee,59.9,1,59.9,Martins,AC,Pix,2024-01-27
marina80@bol.com.br,Barra de Proteína,12.5,5,62.5,Oliveira do Amparo,ES,Pix,2023-06-05
milena88@pires.org,Creatina,99.9,3,299.7,Ramos da Mata,GO,Pix,2024-01-11
moraesemanuel@da.br,Pré-Treino,89.9,1,89.9,Almeida,RS,Cartão,2023-07-03
vinicius72@uol.com.br,Barra de Proteína,12.5,3,37.5,Farias,BA,Boleto,2023-12-28
da-matavalentina@moreira.com,Pré-Treino,89.9,5,449.5,Nogueira,TO,Cartão,2023-03-03
larissagomes@aragao.org,Whey Protein,149.9,5,749.5,Viana do Amparo,PI,Cartão,2023-01-05
thomasdias@fernandes.com,Barra de Proteína,12.5,4,50.0,da Mota,PI,Boleto,2023-10-20
dda-costa@porto.br,GCoffee,59.9,4,239.6,Correia de da Costa,AL,Boleto,2024-12-09
pereiramaria-eduarda@alves.com,Multivitaminas,39.9,5,199.5,Oliveira da Mata,RN,Cartão,2024-05-08
davi-luizpires@ferreira.com,Multivitaminas,39.9,5,199.5,Lopes,GO,Pix,2024-11-23
marcelocosta@uol.com.br,Barra de Proteína,12.5,1,12.5,da Luz Paulista,PI,Cartão,2023-07-31
jfarias@teixeira.com,GCoffee,59.9,2,119.8,Santos de Minas,PB,Pix,2024-06-09
qcardoso@yahoo.com.br,Creatina,99.9,1,99.9,Melo da Mata,AP,Boleto,2024-11-15
emanuellypinto@fogaca.com,Whey Protein,149.9,3,449.7,Barbosa,AL,Pix,2023-02-19
mpereira@ramos.br,Barra de Proteína,12.5,1,12.5,Moreira da Mata,PI,Cartão,2025-01-30
ealmeida@azevedo.net,Creatina,99.9,5,499.5,Moreira,AP,Pix,2024-11-10
leonardo53@campos.br,Barra de Proteína,12.5,4,50.0,da Costa,GO,Cartão,2025-01-20
evelyncunha@ig.com.br,GCoffee,59.9,5,299.5,da Rosa,CE,Cartão,2024-03-11
zda-mata@da.br,Multivitaminas,39.9,4,159.6,Ferreira,PR,Pix,2024-07-01
joao-gabrielpinto@azevedo.br,Multivitaminas,39.9,3,119.7,Castro do Norte,PR,Pix,2025-03-24
maria-vitoriasales@teixeira.org,Creatina,99.9,1,99.9,Ramos,PR,Cartão,2025-01-17
vda-rosa@yahoo.com.br,Whey Protein,149.9,5,749.5,Moraes,MT,Cartão,2024-04-14
lribeiro@almeida.br,Whey Protein,149.9,3,449.7,Souza das Pedras,MT,Boleto,2024-09-28
xteixeira@ig.com.br,Barra de Proteína,12.5,4,50.0,Melo de Minas,RO,Boleto,2024-08-20
joaocastro@da.net,Barra de Proteína,12.5,2,25.0,Cardoso,MG,Cartão,2023-11-18
eda-cruz@costa.com,Creatina,99.9,4,399.6,Monteiro,AP,Boleto,2023-05-09
araujogiovanna@barbosa.br,Multivitaminas,39.9,2,79.8,Mendes de Goiás,RS,Pix,2024-06-02
